year,annual_return
1927,0.32606772
1928,0.38929018
1929,-0.14816554
1930,-0.28815544
1931,-0.44026289
1932,-0.08438889
1933,0.57359838
1934,0.03202283
1935,0.45109830
1936,0.32243948
1937,-0.34660183
1938,0.28435878
1939,0.02716526
1940,-0.07162895
1941,-0.10467933
1942,0.16497833
1943,0.28312361
1944,0.21298390
1945,0.38725362
1946,-0.06373129
1947,0.03455465
1948,0.01874074
1949,0.20248707
1950,0.30045727
1951,0.20709366
1952,0.13488855
1953,0.00771195
1954,0.50193275
1955,0.25318476
1956,0.08382310
1957,-0.10002957
1958,0.44995830
1959,0.12739180
1960,0.01212201
1961,0.26913712
1962,-0.10164560
1963,0.20960860
1964,0.16061876
1965,0.14435537
1966,-0.08740026
1967,0.28682396
1968,0.14005231
1969,-0.10960342
1970,0.00010181
1971,0.16184982
1972,0.16893071
1973,-0.19253440
1974,-0.27739990
1975,0.38238392
1976,0.27004393
1977,-0.03126915
1978,0.08223394
1979,0.23490415
1980,0.33378050
1981,-0.03415755
1982,0.21196827
1983,0.22536274
1984,0.03795661
1985,0.32628897
1986,0.16276842
1987,0.01604194
1988,0.17898903
1989,0.28875589
1990,-0.06133538
1991,0.34792303
1992,0.09724858
1993,0.11105343
1994,-0.00197659
1995,0.36824419
1996,0.21157804
1997,0.31212781
1998,0.24326740
1999,0.25236582
2000,-0.11708935
2001,-0.11374074
2002,-0.21121607
2003,0.31780162
2004,0.11928991
2005,0.06057488
2006,0.15420003
2007,0.05682850
2008,-0.36749109
2009,0.28346192
2010,0.17469509
2011,0.00475435
2012,0.16322853
2013,0.35179218
2014,0.11708040
2015,0.00080230
2016,0.13489788
2017,0.22305114
2018,-0.05139369
2019,0.30407697
2020,0.24108097
2021,0.23579149
